candidate_id,rank,score,reasoning
CAND_0061257,1,1.122963,"Staff Machine Learning Engineer at LinkedIn, 8.0 yrs experience; previously Senior Applied Scientist at Yellow.ai (52mo); strong, endorsement-backed depth in Search Infrastructure, Vector Representations, Information Retrieval Systems."
CAND_0088025,2,1.116733,"Staff Machine Learning Engineer at Yellow.ai, 8.6 yrs experience; as Staff Machine Learning Engineer at Niramai (44mo) their role description specifically covers Pinecone; strong, endorsement-backed depth in Learning to Rank, Elasticsearch, BM25."
CAND_0007009,3,1.110169,"Recommendation Systems Engineer at Wysa, 7.9 yrs experience; as Recommendation Systems Engineer at PolicyBazaar (48mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Learning to Rank, OpenSearch, BM25."
CAND_0006567,4,1.106941,"Senior AI Engineer at Meta, 7.9 yrs experience; previously Senior ML Engineer — Search & Ranking at Glance (19mo); strong, endorsement-backed depth in Ranking Systems, BM25, Search Backend."
CAND_0066999,5,1.100755,"Recommendation Systems Engineer at Microsoft, 5.9 yrs experience; previously Senior Data Scientist at Amazon (21mo); strong, endorsement-backed depth in FAISS, BM25, Information Retrieval."
CAND_0002025,6,1.097251,"Senior AI Engineer at Apple, 5.9 yrs experience; as Lead AI Engineer at Aganitha (28mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in FAISS, Recommendation Systems, Weaviate."
CAND_0077337,7,1.096597,"Staff Machine Learning Engineer at Paytm, 7.0 yrs experience; previously Senior AI Engineer at Aganitha (6mo); strong, endorsement-backed depth in Information Retrieval, Recommendation Systems, pgvector."
CAND_0005538,8,1.088166,"Senior AI Engineer at Adobe, 5.9 yrs experience; previously Lead AI Engineer at Locobuzz (30mo); strong, endorsement-backed depth in pgvector, Information Retrieval Systems, Vector Representations."
CAND_0042506,9,1.087088,"Search Engineer at Verloop.io, 4.2 yrs experience; as Machine Learning Engineer at Meesho (32mo) their role description specifically covers Embeddings; strong, endorsement-backed depth in FAISS, Information Retrieval, NLP; but unverified contact info."
CAND_0078492,10,1.084532,"Recommendation Systems Engineer at Verloop.io, 5.1 yrs experience; previously Senior Data Scientist at Adobe (49mo); strong, endorsement-backed depth in FAISS, Qdrant, BM25."
CAND_0064326,11,1.084242,"Search Engineer at Sarvam AI, 7.6 yrs experience; previously Machine Learning Engineer at Aganitha (24mo); strong, endorsement-backed depth in Weaviate, Semantic Search, Milvus."
CAND_0081846,12,1.083059,"Lead AI Engineer at Razorpay, 6.7 yrs experience; as Senior Machine Learning Engineer at Paytm (52mo) their role description specifically covers Semantic Search, BM25; strong, endorsement-backed depth in Information Retrieval, Vector Search, Learning to Rank."
CAND_0041669,13,1.080493,"Recommendation Systems Engineer at CRED, 8.0 yrs experience; as Search Engineer at Mad Street Den (52mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in Semantic Search, Milvus, Weaviate."
CAND_0071974,14,1.074635,"Senior AI Engineer at Netflix, 7.8 yrs experience; as Staff Machine Learning Engineer at Meta (28mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in Elasticsearch, Qdrant, Embeddings."
CAND_0065195,15,1.067828,"Search Engineer at CRED, 5.1 yrs experience; previously Senior Data Scientist at Google (13mo); strong, endorsement-backed depth in Qdrant, Elasticsearch, Learning to Rank."
CAND_0046525,16,1.067165,"Senior Machine Learning Engineer at Genpact AI, 6.1 yrs experience; as Senior Machine Learning Engineer at LinkedIn (25mo) their role description specifically covers Embeddings, FAISS, BM25; strong, endorsement-backed depth in Information Retrieval, Sentence Transformers, pgvector."
CAND_0018499,17,1.061031,"Senior Machine Learning Engineer at Zomato, 7.2 yrs experience; as Staff Machine Learning Engineer at Google (18mo) their role description specifically covers Embeddings, FAISS, BM25; strong, endorsement-backed depth in Learning to Rank, Embeddings, Weaviate."
CAND_0027691,18,1.058459,"NLP Engineer at Haptik, 6.5 yrs experience; as Applied ML Engineer at Vedantu (33mo) their role description specifically covers Semantic Search, FAISS, Elasticsearch; strong, endorsement-backed depth in Recommendation Systems, Weaviate, Semantic Search."
CAND_0011687,19,1.057341,"Senior NLP Engineer at Niramai, 7.8 yrs experience; as Senior Machine Learning Engineer at Krutrim (40mo) their role description specifically covers LoRA, QLoRA; strong, endorsement-backed depth in OpenSearch, Embeddings, Semantic Search."
CAND_0041610,20,1.056951,"Recommendation Systems Engineer at Zoho, 6.7 yrs experience; as Search Engineer at InMobi (15mo) their role description specifically covers Embeddings, Pinecone; strong, endorsement-backed depth in OpenSearch, Elasticsearch, Learning to Rank."
CAND_0011162,21,1.046170,"Recommendation Systems Engineer at upGrad, 5.8 yrs experience; previously Recommendation Systems Engineer at Meesho (28mo); strong, endorsement-backed depth in FAISS, OpenSearch, Pinecone."
CAND_0054394,22,1.043019,"Recommendation Systems Engineer at PharmEasy, 4.1 yrs experience; previously NLP Engineer at Netflix (34mo); strong, endorsement-backed depth in Fine-tuning LLMs, Embeddings, Pinecone; but unverified contact info."
